Invoice Id,Invoice Create Ts,Transaction Method,Transaction Type,Response Id,Pan Last 4 Nr,Amount,Publish Ts
KA24714402          ,2020-05-22 08:30:30,ACMI,REFUND,4bbd7e79-75bc-47eb-960a-9cf20949f1ec,,95.958,2020-05-27 05:18:04
JA07283673          ,2020-05-19 06:32:59,PIF,REFUND,MWEO2XEYQ0506,9260,95.625,2020-05-27 05:18:04
JA07283673          ,2020-05-19 06:32:59,PIF,REFUND,MWEO2XEYQ0506,9260,90,2020-05-27 05:18:04
JA07327446          ,2020-05-22 11:53:17,ACMI,REFUND,d76d9f00-a057-4b81-85dd-c23be42ebdd4,,97.426,2020-05-27 05:18:04
AC15321509          ,2020-05-26 01:27:48,PIF,EARN,MWEE6NAU60523,6082,96.752,2020-05-27 05:18:04
AC12677504          ,2020-05-17 05:29:55,ACMI,EARN,c33012c0-e82c-40c6-bbcb-4ad45b191b3e,,96.975,2020-05-27 05:18:04
AC12678867          ,2020-05-17 05:29:56,ACMI,EARN,cd893df7-8d19-4de6-93af-e5a549932ce6,,97.875,2020-05-27 05:18:04
JA07271829          ,2020-05-18 12:21:17,PIF,REFUND,MWECPDDF80506,2776,191.259,2020-05-27 05:18:04
JA07358697          ,2020-05-26 12:07:27,PIF,REFUND,MWEIYFELK0510,5172,97.428,2020-05-27 05:18:04
AC13910037          ,2020-05-20 14:00:10,PIF,EARN,MWEGS67MV0519,0546,98.552,2020-05-27 05:18:04
JA07316399          ,2020-05-22 12:23:27,ACMI,REFUND,9ab42e7a-fe0b-4766-af48-7068796933a8,,97.875,2020-05-27 05:18:04
AC13741023          ,2020-05-20 01:23:59,PIF,EARN,MWETSQYHY0518,1729,96.976,2020-05-27 05:18:04
AC13130012          ,2020-05-18 10:19:14,PIF,EARN,MWEJAZ5XL0518,6743,96.3,2020-05-27 05:18:04
JA07315116          ,2020-05-21 15:00:53,PIF,REFUND,MWEP4LF890504,6171,97.875,2020-05-27 05:18:04
AC13096827          ,2020-05-18 08:48:31,PIF,EARN,MWEC34ECD0518,0583,96.3,2020-05-27 05:18:04
AC13587497          ,2020-05-19 16:19:20,ACMI,EARN,78af0c97-b5de-4c48-bc1a-6ee83108177a,,97.425,2020-05-27 05:18:04
JA07211511          ,2020-05-12 14:32:50,PIF,REFUND,MWEDWHCH00507,3885,98.447,2020-05-27 05:18:04
AC13396169          ,2020-05-19 02:42:30,ACMI,EARN,a37e94df-ae93-48b8-930a-d86d2830f4f8,,96.974,2020-05-27 05:18:04
AC14399221          ,2020-05-22 01:33:12,PIF,EARN,MWEZWVEXY0521,6339,97.2,2020-05-27 05:18:04
AC14462035          ,2020-05-22 06:20:55,ACMI,EARN,b5ba466c-9e9c-415c-bde9-094f760a8f5d,,96.525,2020-05-27 05:18:04
AC13842199          ,2020-05-20 09:15:56,PIF,EARN,MWEGZJBPI0520,7139,97.425,2020-05-27 05:18:04
JA07314512          ,2020-05-21 14:29:08,PIF,REFUND,MWEZZGWBI0512,0605,95.715,2020-05-27 05:18:04
AC15250860          ,2020-05-26 06:30:35,ACMI,EARN,d41fac5b-0496-4c03-8de0-75afde9b69e4,,97.985,2020-05-27 05:18:04
AC14463032          ,2020-05-22 06:20:38,PIF,EARN,MWE0WD8FS0522,2970,97.471,2020-05-27 05:18:04
AC15382781          ,2020-05-26 09:47:51,ACMI,EARN,2c93c829-a5e6-435b-87e9-fb0aef227ad1,,90,2020-05-27 05:18:04
JA07327267          ,2020-05-22 11:09:38,PIF,REFUND,   QTJOUW0511,2592,95.627,2020-05-27 05:18:04
JA07327272          ,2020-05-22 11:09:38,PIF,REFUND,MWEED04VX0518,2184,98.551,2020-05-27 05:18:04
JA07132779          ,2020-05-23 11:26:32,ACMI,REFUND,63c29317-ca07-4a09-9fb0-98530391082c,,97.653,2020-05-27 05:18:04
JA07132779          ,2020-05-23 11:26:32,ACMI,REFUND,622186fd-d09b-44f9-bc40-8820c76a663b,,97.651,2020-05-27 05:18:04
KA24782268          ,2020-05-25 00:24:51,PIF,REFUND,MWE8JIM170517,7651,96.3,2020-05-27 05:18:04
AC14316362          ,2020-05-21 21:30:51,PIF,EARN,MWEFW1WWP0521,3268,97.424,2020-05-27 05:18:04
JA07315103          ,2020-05-21 15:00:53,PIF,REFUND,MWEK5LQJY0525,2093,97.2,2020-05-27 05:18:04
AC13308359          ,2020-05-19 02:57:48,PIF,EARN,MWEDX8NSN0517,9295,95.624,2020-05-27 05:18:04
JA07327262          ,2020-05-22 11:09:38,PIF,REFUND,MWERI1M4X0515,3991,90,2020-05-27 05:18:04
JA07327262          ,2020-05-22 11:09:38,PIF,REFUND,MWERI1M4X0515,3991,98.552,2020-05-27 05:18:04
AC13481394          ,2020-05-19 08:00:16,ACMI,EARN,ac7dda80-9f70-4f17-bc2c-1ffd1ebd7ab9,,98.551,2020-05-27 05:18:04
JA07357967          ,2020-05-26 11:03:03,ACMI,REFUND,f393512b-791a-4c13-bbca-90097caae30b,,98.551,2020-05-27 05:18:04
AC13315349          ,2020-05-20 00:53:56,PIF,EARN,MWEOZOON50519,4330,97.536,2020-05-27 05:18:04
JA07288114          ,2020-05-19 16:05:03,PIF,REFUND,MWETUIJDX0512,3378,97.673,2020-05-27 05:18:04
KA18033424          ,2020-05-20 09:53:52,ACMI,REFUND,1fa2eb25-e6f6-45ec-bfa7-d44dad693341,,90,2020-05-27 05:18:04
AC14428601          ,2020-05-22 02:48:44,PIF,EARN,MWEJFLR3V0521,4085,95.624,2020-05-27 05:18:04
