UNIVERSALUNIQUEID,INSTITUTIONID,INTRADAYTHRESHOLDAMOUNT,HELDDAYS_LESSTHANINTRADAYTHRESHOLD,HELDDAYS_GREATERTHANINTRADAYTHRESHOLD,STARTDATE,TRANSACTIONCODE, ACHSucessfulPaymentThreshold
d59e6c99-d6f2-4782-93ba-66687c5bcebe,6969,1000,5,3,20180212111440,0,0
4dc528d6-23e1-4d2f-a9e1-a04c963c27fb,6969,1000,2,4,20180212111440,0,0
eaf9030b-6529-4fbc-a746-3f8822689bd8,6969,1000,0,2,20180212111440,0,0
dfa05f99-549f-46f4-b8ed-3f7a720ef330,6969,1000,4,0,20180212111440,0,0
694209b2-c934-4a27-a555-b2ef3655fd63,6969,1000,5,2,20180212111440,0,0
c96132aa-273a-4c43-9b82-bbf0ebe5feea,6969,1000,5,0,20180212111440,0,0
bbf539e3-a784-4420-9826-bcd347921325,6969,1000,2,6,20180212111440,0,0
85d332de-1c90-4887-8186-e6a34f66e514,6969,1000,5,6,20180212111440,0,0
abef35da-3a59-4a0f-a508-636be91fb825,6969,1000,0,4,20180212111440,0,0
5fa5996f-0c3e-4592-b1a0-7439efe139e5,6969,1000,2,0,20180212111440,0,0
43031cee-0fab-4b98-9c66-57569029e77e,6969,1000,6,4,20180212111440,0,0
aa00a1a5-79ee-40d5-baac-048ffbbe4fbd,6969,1000,0,5,20180212111440,0,0
ea327700-4f7a-4b71-94ba-a2316b313629,6969,1000,0,1,20180212111440,0,0
bab2d628-c3ac-4551-956b-41f090cdb143,6969,1000,4,5,20180212111440,0,0
97e139fb-7739-4103-9bb4-0ffbd79a77b7,6969,1000,0,5,20180212111440,0,0
dd14bf1e-ea18-4e9e-ad4a-12dca3de62d7,6969,1000,3,5,20180212111440,0,0
8524bf82-c484-44cb-9993-6dd89de8cd3f,6969,1000,1,4,20180212111440,0,0
bf9147d8-b2c3-4c50-9293-98a2703fbbf3,6969,1000,6,1,20180212111440,0,0
ee83d383-4926-4f12-aca1-98c4fc6fca30,6969,1000,2,6,20180212111440,0,0
6f274cf7-d413-4f56-8121-ee96309b4da7,6969,1000,1,6,20180212111440,0,0
991e1ade-9d61-420d-a18a-c136f75c80b8,6969,1000,2,3,20180212111440,0,0
96ac6208-09cb-4799-9366-239b4f42b6aa,6969,1000,3,2,20180212111440,0,0
9a55a950-f06f-4b58-b38f-2f677ff0d9fb,6969,1000,5,1,20180212111440,0,0
840818c2-7d22-448b-8d45-f950a6cddf8f,6969,1000,1,4,20180212111440,0,0
3db78c9f-704c-46e5-9d5e-9ec825d04d8d,6969,1000,2,6,20180212111440,0,0
a5a6c652-d6bb-4d9b-b3cc-5935d22cb37b,6969,1000,5,6,20180212111440,0,0
733dee33-a29c-4b7d-86b4-eb0346a9149e,6969,1000,6,1,20180212111440,0,0
54a1379c-4d76-4d51-9ed1-92d9b2fd48a9,6969,1000,2,3,20180212111440,0,0
37ba4ba2-1cc0-41af-b053-62a6b5505bcf,6969,1000,3,4,20180212111440,0,0
4954aaec-86d4-4ed3-9faa-3abf41af1822,6969,1000,0,2,20180212111440,0,0
8ea8f9bd-b6e2-47a1-a55f-e8f15debdaee,6969,1000,4,6,20180212111440,0,0
b957df35-183a-4d3e-94f1-69b8658e82ce,6969,1000,0,6,20180212111440,0,0
50da282d-9e49-422a-a108-4a224c98b22f,6969,1000,2,2,20180212111440,0,0
4fcd948f-e4ad-4773-a990-87317831ff40,6969,1000,0,4,20180212111440,0,0
bf267327-63a1-4254-b530-21381468733b,6969,1000,1,0,20180212111440,0,0
a60fad3c-43ed-443d-bbc1-da251332716b,6969,1000,0,1,20180212111440,0,0
3335a78e-7f4a-4707-844d-8fa4c53fd047,6969,1000,5,1,20180212111440,0,0
5db6d8ca-5d53-4fd6-985e-8cf56332582c,6969,1000,0,6,20180212111440,0,0
9787113f-933e-4f8f-8831-6fe4ab8a2b21,6969,1000,4,1,20180212111440,0,0
2e336155-43ad-426d-9fbd-7ca6b30761a6,6969,1000,2,0,20180212111440,0,0
6a97ff46-6fdc-44cd-b64c-2ea67e91537b,6969,1000,1,5,20180212111440,0,0
7f6c23d9-a4d0-4abd-a359-4589b03175a7,6969,1000,3,0,20180212111440,0,0
4d7f6895-fdc2-496c-9d34-b728e4d806ee,6969,1000,5,5,20180212111440,0,0
faac8927-a200-4571-af3a-6df30637af00,6969,1000,2,1,20180212111440,0,0
789505a8-dd13-4f00-aaa4-27839e370175,6969,1000,3,6,20180212111440,0,0
6ed9b496-bc55-4e92-8796-6d32be94afd8,6969,1000,4,3,20180212111440,0,0
50e3ddd8-e474-4667-941a-8708996d05b2,6969,1000,5,3,20180212111440,0,0
dfe8499b-d983-473c-a35d-c2d5884f8fc8,6969,1000,4,1,20180212111440,0,0
641f62b6-c29e-4653-b63b-769cca4beb02,6969,1000,1,4,20180212111440,0,0
5e8f5805-aa7e-44ce-9da8-fd65ec29a902,6969,1000,1,2,20180212111440,0,0
0a2f85a5-73e8-4a57-9cd1-615abef46187,6969,1000,4,5,20180212111440,0,0
ef9f0297-33b9-41d9-aaba-09fcc1f15deb,6969,1000,0,2,20180212111440,0,0
221f94e4-4b5c-4155-a82a-0cc9fadd75a3,6969,1000,0,4,20180212111440,0,0
d3b100e1-0993-4e28-aa63-d201cf6aec68,6969,1000,5,2,20180212111440,0,0
e6273fdb-1758-488c-a6f5-26598e62fa2e,6969,1000,3,2,20180212111440,0,0
80118ead-b906-47af-8277-95cff8795929,6969,1000,6,3,20180212111440,0,0
9d99977f-a3fb-48d6-97b1-18b8e4fa7097,6969,1000,5,3,20180212111440,0,0
bc0f47a8-d918-4c31-a1a5-7618aee65c8e,6969,1000,1,6,20180212111440,0,0
27dfabc5-18ef-41e3-a2ae-6fb0f7c3986c,6969,1000,2,4,20180212111440,0,0
0a2418ce-617f-4aa3-a306-d569bd48b39d,6969,1000,2,5,20180212111440,0,0
3d7703d7-1f6c-4342-9937-037c3986d6d9,6969,1000,3,1,20180212111440,0,0
239b4d16-1a01-4af8-aef7-1962c20865e1,6969,1000,1,2,20180212111440,0,0
1d8b9747-8a16-41c6-a932-ee2410434ec5,6969,1000,1,5,20180212111440,0,0
17c548cc-a1d9-4ef3-9210-9aea8e6e7f18,6969,1000,5,6,20180212111440,0,0
1965b169-7d59-4480-b79f-4736249d558d,6969,1000,6,6,20180212111440,0,0
2e652138-033a-415a-851b-c2f1aa368dd3,6969,1000,6,4,20180212111440,0,0
534ca844-abda-4c96-8ef2-ead02660e406,6969,1000,2,6,20180212111440,0,0
b537bee0-2b86-4618-b48b-efb6c13ef5ac,6969,1000,0,4,20180212111440,0,0
c0cfff17-77ae-4bcc-8a49-73f790a55bd6,6969,1000,6,4,20180212111440,0,0
00dd6320-7dc8-43b0-9067-939883844b97,6969,1000,4,5,20180212111440,0,0
0fa57352-8fca-4b06-a5ae-013a3b94e36c,6969,1000,1,1,20180212111440,0,0
14ca0ebd-5ab2-4aaf-8c50-98b898e4c602,6969,1000,0,4,20180212111440,0,0
0687a27b-4e96-43c0-8900-cc08f160c6ce,6969,1000,3,3,20180212111440,0,0
d38cbd68-95cb-4579-8382-547fd5ef465c,6969,1000,4,2,20180212111440,0,0
f9f1618e-0b1d-4350-b6af-1c6bcade4e4a,6969,1000,3,5,20180212111440,0,0
cbe8a821-c958-4d9a-8a46-55fa8f8ed4b8,6969,1000,3,4,20180212111440,0,0
82d35b79-bf46-46cb-b3b2-2876a7bda71e,6969,1000,4,2,20180212111440,0,0
d670cd5e-8f90-4016-8b89-42fc9a24f220,6969,1000,4,5,20180212111440,0,0
35f83323-794c-4ad1-9f3e-c4aa6c36ea56,6969,1000,4,0,20180212111440,0,0
5c7ed7d2-bfed-4043-946b-ab16aad83b18,6969,1000,6,1,20180212111440,0,0
48cd2f9b-fa58-453d-bdf7-95cff985ba15,6969,1000,3,2,20180212111440,0,0
4a44b74b-434d-4a18-b7c4-5cedf0b21e8c,6969,1000,5,2,20180212111440,0,0
7964ec8b-298e-4fdb-b324-3f3afde796f3,6969,1000,6,3,20180212111440,0,0
7816bbf8-3fe1-4402-b0e6-77ee70359bef,6969,1000,3,2,20180212111440,0,0
aaa04130-8d0b-4a11-b92c-3cace3550ee1,6969,1000,2,2,20180212111440,0,0
79e66cad-fd84-418c-a7a7-6bd6d6d97799,6969,1000,1,5,20180212111440,0,0
94f3aae6-77be-47d5-b436-09d6be12ac8c,6969,1000,1,3,20180212111440,0,0
0d2d7bbb-66f0-4eec-bcc1-628fb76a9a9a,6969,1000,2,0,20180212111440,0,0
e2047794-d6c2-4316-a6ad-5b626693b84c,6969,1000,0,4,20180212111440,0,0
7f432618-572e-428b-ad09-4b06f7266678,6969,1000,5,3,20180212111440,0,0
cc6ff8e8-ed8d-45ed-8089-8ca997dc703a,6969,1000,6,6,20180212111440,0,0
6e3e9ec0-b0f8-4958-b3f0-c1b1ee2975e0,6969,1000,2,3,20180212111440,0,0
b3ff9bf9-dbaf-4946-a239-33074502d0b1,6969,1000,3,6,20180212111440,0,0
